               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052981,            0.021958,            0.053466,             0.96118,            0.055556,             0.15978,            0.052835,            0.044468,            0.013433,            0.045713,            0.008845,            0.008845,            0.008845
                  37,            0.054921,            0.022501,            0.053842,             0.69306,             0.24667,              0.1788,            0.079931,            0.041051,            0.013479,            0.044664,            0.008812,            0.008812,            0.008812
                  38,            0.050534,            0.022901,            0.053317,             0.73743,             0.10667,             0.14362,             0.03755,            0.048384,             0.01441,            0.048227,            0.008779,            0.008779,            0.008779
                  39,            0.049661,            0.021363,            0.054795,             0.63527,             0.19333,             0.10277,            0.026449,            0.047484,            0.012625,            0.045671,            0.008746,            0.008746,            0.008746
                  40,            0.052175,            0.021698,            0.055184,             0.74459,             0.17333,             0.22983,            0.062971,            0.037371,            0.012702,            0.044454,            0.008713,            0.008713,            0.008713
                  41,            0.052999,            0.021048,            0.054557,             0.90298,             0.09258,             0.16071,            0.063718,            0.052593,            0.011054,            0.045428,             0.00868,             0.00868,             0.00868
                  42,            0.051812,            0.021593,            0.054332,              0.3598,             0.31556,             0.22297,            0.080942,             0.04574,            0.014729,            0.045075,            0.008647,            0.008647,            0.008647
                  43,             0.05058,            0.020907,            0.053304,             0.52374,             0.29033,             0.28314,             0.11981,            0.038518,             0.01369,            0.042474,            0.008614,            0.008614,            0.008614
                  44,            0.048147,            0.022191,            0.053273,             0.52468,             0.25556,             0.12574,            0.054347,            0.048239,            0.013405,            0.043972,            0.008581,            0.008581,            0.008581
                  45,             0.05243,            0.019668,            0.053634,             0.38267,             0.25363,             0.15091,            0.053037,            0.042634,            0.012644,             0.04077,            0.008548,            0.008548,            0.008548
                  46,            0.049186,            0.020477,            0.052761,             0.47509,             0.23111,             0.24701,            0.089744,            0.037206,            0.011988,            0.041429,            0.008515,            0.008515,            0.008515
                  47,            0.047882,            0.021424,              0.0526,              0.4384,             0.39354,             0.33712,             0.14659,            0.035629,            0.011595,            0.041714,            0.008482,            0.008482,            0.008482
                  48,            0.047886,            0.018465,            0.052012,             0.52565,             0.34667,             0.29181,            0.097683,            0.044775,            0.011305,             0.04458,            0.008449,            0.008449,            0.008449
                  49,            0.051402,            0.020202,            0.051664,             0.52205,             0.30301,             0.32354,             0.13849,            0.038814,            0.011192,            0.042704,            0.008416,            0.008416,            0.008416
                  50,            0.046804,            0.019916,            0.053148,             0.46314,             0.34612,             0.28771,              0.1444,            0.038909,            0.010927,             0.04179,            0.008383,            0.008383,            0.008383
                  51,            0.047879,             0.01952,            0.051843,             0.66222,             0.25333,             0.32901,             0.13955,            0.037473,            0.011136,            0.040401,             0.00835,             0.00835,             0.00835
                  52,            0.047522,            0.020461,            0.050787,             0.45324,             0.37144,             0.31168,             0.14441,            0.039039,            0.010359,            0.040539,            0.008317,            0.008317,            0.008317
                  53,            0.048833,            0.017723,            0.051081,             0.50238,             0.37556,             0.38543,             0.14029,            0.040663,            0.010587,            0.041697,            0.008284,            0.008284,            0.008284
                  54,             0.04919,            0.019038,            0.051921,             0.33421,             0.33194,             0.29067,             0.12351,            0.039975,            0.010487,            0.039843,            0.008251,            0.008251,            0.008251
                  55,            0.046158,            0.017817,            0.050125,             0.40483,             0.42667,             0.43664,             0.18451,            0.038111,           0.0099854,             0.04064,            0.008218,            0.008218,            0.008218
                  56,            0.051025,            0.018153,            0.049449,             0.59384,             0.34241,             0.42068,             0.18552,            0.036954,            0.011777,            0.039125,            0.008185,            0.008185,            0.008185
